date,env_enc_0,env_enc_1,env_enc_2,env_enc_3
1928-04-25,2.1533337,-4.8258944,2.7050307,-0.6946192
1928-04-26,2.1932435,-5.317376,3.1286607,-0.4934082
1928-04-27,2.3678527,-6.1961656,3.8310442,-0.2908376
1928-04-28,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-29,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-04-30,2.1585822,-4.7685823,2.6495311,-0.7354231
1928-05-01,2.2153945,-4.670454,2.5262086,-0.87869924
1928-05-02,2.1787195,-4.701642,2.5750654,-0.8061249
1928-05-03,2.1529398,-4.934511,2.8044538,-0.63481283
1928-05-04,2.741648,-7.6893177,4.9980106,-0.053873364
1928-05-05,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-06,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-07,2.2374876,-5.575356,3.3366036,-0.42409277
1928-05-08,3.103569,-5.8312616,3.0840263,-1.5319164
1928-05-09,2.4099298,-4.79515,2.5273395,-1.100324
1928-05-10,2.4101174,-4.795358,2.5274186,-1.1004913
1928-05-11,2.19902,-5.3547726,3.1593084,-0.48252046
1928-05-12,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-13,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-14,2.15496,-4.802638,2.6830592,-0.71007454
1928-05-15,2.5001678,-4.905694,2.5746572,-1.1747513
1928-05-16,5.078729,-9.389627,5.208665,-2.4260728
1928-05-17,2.159388,-4.7630734,2.6439888,-0.7399117
1928-05-18,3.6606684,-6.7932415,3.6499784,-1.7975609
1928-05-19,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-20,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-21,4.609799,-8.524524,4.6856937,-2.224202
1928-05-22,4.436697,-8.20603,4.4938216,-2.1485777
1928-05-23,3.1790967,-9.302816,6.251507,0.16326858
1928-05-24,2.1637588,-5.0950494,2.9439044,-0.5657103
1928-05-25,2.2158012,-4.670329,2.52587,-0.87937343
1928-05-26,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-27,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-28,5.0580454,-9.351436,5.1855097,-2.4172506
1928-05-29,2.5108454,-6.7863073,4.294757,-0.18940698
1928-05-30,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-05-31,2.2701852,-5.7416315,3.4695616,-0.38465136
1928-06-01,2.15928,-4.76379,2.644713,-0.73932433
1928-06-02,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-03,2.2989497,-4.6932807,2.4999404,-0.9896153
1928-06-04,4.372632,-8.0882015,4.42309,-2.1203227
1928-06-05,2.178788,-4.70152,2.5749173,-0.80629563
1928-06-06,3.589636,-6.667544,3.5755959,-1.7647657
1928-06-07,2.51015,-4.91865,2.5807784,-1.1822302
1928-06-08,4.119661,-7.623228,4.1448994,-2.007122
